Town;Area (Km²);Latitude;Longitude;NUTS_2;NUTS_3;InsPowMW_20150131;InsPowMW_20150228;InsPowMW_20150331;InsPowMW_20150430;InsPowMW_20150531;InsPowMW_20150630;InsPowMW_20150731;InsPowMW_20150831;InsPowMW_20150930;InsPowMW_20151031;InsPowMW_20151130;InsPowMW_20151231;InsPowMW_20160131;InsPowMW_20160229;InsPowMW_20160331;InsPowMW_20160430;InsPowMW_20160531;InsPowMW_20160630;InsPowMW_20160731;InsPowMW_20160831;InsPowMW_20160930;InsPowMW_20161031;InsPowMW_20161130;InsPowMW_20161231;InsPowMW_20170131;InsPowMW_20170228;InsPowMW_20170331;InsPowMW_20170430;InsPowMW_20170531;InsPowMW_20170630;InsPowMW_20170731;InsPowMW_20170831;InsPowMW_20170930;InsPowMW_20171031;InsPowMW_20171130;InsPowMW_20171231;InsPowMW_20180131;InsPowMW_20180228;InsPowMW_20180331;InsPowMW_20180430;InsPowMW_20180531;InsPowMW_20180630;InsPowMW_20180731;InsPowMW_20180831;InsPowMW_20180930;InsPowMW_20181031;InsPowMW_20181130;InsPowMW_20181231;InsPowMW_20190131;InsPowMW_20190228;InsPowMW_20190331;InsPowMW_20190430;InsPowMW_20190531;InsPowMW_20190630;InsPowMW_20190731;InsPowMW_20190831;InsPowMW_20190930;InsPowMW_20191031;InsPowMW_20191130;InsPowMW_20191231;InsPowMW_20200131;InsPowMW_20200229;InsPowMW_20200331;InsPowMW_20200430;InsPowMW_20200531;InsPowMW_20200630;InsPowMW_20200731;InsPowMW_20200831;InsPowMW_20200930;InsPowMW_20201031;InsPowMW_20201130;InsPowMW_20201231
Agramunt;79.4;41.79;1.07;ES51;ES513;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259
Ágreda;164.8;41.85;-1.90;ES41;ES417;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13
Agres;25.8;38.79;-0.51;ES52;ES521;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045
Aguadulce;13.7;37.25;-4.98;ES61;ES618;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Aguarón;36.6;41.34;-1.29;ES24;ES243;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141;2.141
Aguasal;27.0;41.29;-4.64;ES41;ES418;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;6.393
Aguaviva;42.2;40.82;-0.20;ES24;ES242;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Agudo;230.0;39.01;-4.82;ES42;ES422;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356;1.356
Aguilar de Campoo;235.3;42.79;-4.28;ES41;ES414;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314;0.314
Aguilar de Campos;49.8;41.98;-5.19;ES41;ES418;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
Aguilar de la Frontera;166.1;37.46;-4.68;ES61;ES613;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533;7.533
Aguilar de Segarra;43.2;41.73;1.62;ES51;ES511;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605;0.605
Águilas;251.9;37.47;-1.59;ES62;ES620;3.104;3.104;3.104;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11
Agullent;16.2;38.83;-0.56;ES52;ES523;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926;0.926
Aia;55.3;43.24;-2.15;ES21;ES212;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025
Aibar/Oibar;47.7;42.59;-1.35;ES22;ES220;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.006;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Aielo de Malferit;26.7;38.88;-0.61;ES52;ES523;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488
Aielo de Rugat;7.8;38.88;-0.34;ES52;ES523;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
Aiguafreda;7.9;41.78;2.26;ES51;ES511;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003
Aiguamúrcia;72.8;41.36;1.42;ES51;ES514;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008
Aiguaviva;14.0;41.93;2.77;ES51;ES512;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033;0.033
Aitona;67.1;41.47;0.47;ES51;ES513;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207;0.207
Aizarnazabal;6.5;43.26;-2.23;ES21;ES212;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104;0.104
Ajalvir;19.8;40.52;-3.48;ES30;ES300;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239
Ajofrín;35.1;39.73;-3.99;ES42;ES425;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914;0.914
Alacón;47.5;41.05;-0.70;ES24;ES242;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Alaejos;102.5;41.30;-5.23;ES41;ES418;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.592;0.686;0.686;0.686;0.686;0.686;0.686;0.686;0.686;0.686;0.686;0.686;0.686
Alagón del Río;14.3;39.97;-6.32;ES43;ES432;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047;0.047
Alagón;24.2;41.77;-1.12;ES24;ES243;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372;0.372
Alameda;65.1;37.23;-4.67;ES61;ES617;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123;0.123
Alamús (Els);20.4;41.60;0.76;ES51;ES513;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
Alange;160.3;38.73;-6.27;ES43;ES431;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11
Alanís;281.1;38.04;-5.62;ES61;ES618;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Alaquàs;3.9;39.45;-0.47;ES52;ES523;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812;0.812
Alarcón;120.0;39.53;-2.07;ES42;ES423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alàs i Cerc;57.4;42.32;1.52;ES51;ES513;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015
Alatoz;63.9;39.08;-1.37;ES42;ES421;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298
Alba de Cerrato;35.2;41.80;-4.37;ES41;ES414;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Albacete;1127.0;38.96;-1.89;ES42;ES421;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652;63.652
Albaida;35.4;38.85;-0.52;ES52;ES523;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798;1.798
Albal;7.3;39.39;-0.42;ES52;ES523;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679;0.679
Albalá;38.5;39.26;-6.21;ES43;ES432;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
